,x,y,z
0,0,0,149.77828124999996
1,0,1,147.14203125
2,0,2,142.7134375
3,0,3,138.3546875
4,0,4,137.39203125
5,0,5,139.49843750000002
6,0,6,141.0278125
7,0,7,140.62984374999996
8,0,8,139.453125
9,0,9,138.0575
10,0,10,136.73203124999998
11,0,11,135.03031249999998
12,0,12,133.19703125
13,0,13,133.84296875
14,0,14,133.1709375
15,0,15,132.10390625
16,0,16,130.64125
17,0,17,128.91359375
18,0,18,128.12281249999998
19,0,19,128.78671874999998
20,0,20,131.40781249999998
21,0,21,134.07593749999998
22,0,22,138.81578125000001
23,0,23,142.16875
24,0,24,144.79000000000002
25,0,25,147.485625
26,0,26,150.40671875
27,0,27,153.53359375
28,0,28,156.19671875
29,0,29,157.7215625
30,0,30,159.7590625
31,0,31,161.77984375
32,0,32,163.58375
33,0,33,165.1975
34,0,34,166.67390625000002
35,0,35,167.89109375
36,0,36,168.79453124999998
37,0,37,169.44
38,0,38,169.96781249999998
39,0,39,169.99812500000002
40,0,40,169.76515625
41,0,41,169.25703125000004
42,0,42,168.35281249999997
43,0,43,167.8715625
44,0,44,167.4184375
45,0,45,166.97468750000002
46,0,46,166.47359375
47,0,47,166.03562499999998
48,0,48,165.2853125
49,0,49,164.35421875
50,0,50,163.60000000000002
51,0,51,162.4371875
52,0,52,161.0309375
53,0,53,158.80828125
54,0,54,155.89406249999996
55,0,55,152.4553125
56,0,56,149.20234375000004
57,0,57,145.86296875
58,0,58,142.98671874999997
59,0,59,142.07875
60,0,60,145.15812499999998
61,0,61,148.35781250000002
62,0,62,152.23546875000002
63,0,63,156.87796874999998
64,0,64,161.16562499999998
65,0,65,165.35546875
66,0,66,168.75734375000002
67,0,67,172.22859374999996
68,0,68,175.35078125
69,0,69,177.96515625
70,0,70,180.51203124999998
71,0,71,182.93625000000003
72,0,72,185.18921875
73,0,73,187.15375000000003
74,0,74,188.8215625
75,0,75,190.848125
76,0,76,192.54593749999998
77,0,77,194.29859375
78,0,78,195.55078125
79,0,79,197.09546874999998
80,0,80,199.04078124999998
81,0,81,200.40796875
82,0,82,202.06640625000003
83,0,83,203.32781250000002
84,0,84,204.97421875
85,0,85,206.4290625
86,0,86,207.77249999999998
87,0,87,208.23921875000002
88,0,88,209.19859375
89,0,89,209.7671875
90,0,90,210.48828124999997
91,0,91,211.25
92,0,92,211.30671875
93,0,93,211.08265624999996
94,0,94,210.916875
95,0,95,210.72281249999997
96,0,96,209.98624999999998
97,0,97,208.65703124999996
98,0,98,206.8371875
99,0,99,204.71796875
100,1,0,148.46109375
101,1,1,146.469375
102,1,2,141.61125
103,1,3,137.1471875
104,1,4,134.7740625
105,1,5,136.17406249999996
106,1,6,137.880625
107,1,7,138.07109375
108,1,8,137.14765624999998
109,1,9,136.12984374999996
110,1,10,134.88875
111,1,11,133.64703125
112,1,12,131.02609375
113,1,13,130.62609375000002
114,1,14,129.89140625
115,1,15,127.6075
116,1,16,126.32078124999998
117,1,17,127.8065625
118,1,18,130.309375
119,1,19,132.7478125
120,1,20,135.55421875000002
121,1,21,138.52953125
122,1,22,141.88593749999995
123,1,23,144.67328125
124,1,24,147.2234375
125,1,25,149.9440625
126,1,26,152.6546875
127,1,27,155.3996875
128,1,28,156.53421875
129,1,29,158.13375
130,1,30,159.92249999999999
131,1,31,161.68156249999998
132,1,32,163.28734375000005
133,1,33,164.8753125
134,1,34,166.29593749999998
135,1,35,167.460625
136,1,36,168.31187499999996
137,1,37,168.98640625
138,1,38,169.30656249999998
139,1,39,169.12265625
140,1,40,168.59765625
141,1,41,167.91671875
142,1,42,167.14171875
143,1,43,166.63890625
144,1,44,166.17609375
145,1,45,165.68859375
146,1,46,165.09578125
147,1,47,164.615
148,1,48,163.95906250000002
149,1,49,163.0740625
150,1,50,162.08703125000002
151,1,51,160.97468750000002
152,1,52,159.46234375
153,1,53,157.3009375
154,1,54,154.62328125
155,1,55,151.636875
156,1,56,148.78296875
157,1,57,145.77765625
158,1,58,143.2934375
159,1,59,141.26890625
160,1,60,143.8725
161,1,61,146.90765625
162,1,62,150.773125
163,1,63,155.43328125
164,1,64,160.0821875
165,1,65,164.34640625
166,1,66,167.99874999999997
167,1,67,171.6590625
168,1,68,174.87531249999998
169,1,69,177.55171875000002
170,1,70,180.166875
171,1,71,182.79171875000003
172,1,72,185.2940625
173,1,73,187.45828125
174,1,74,189.32093749999999
175,1,75,191.31421874999998
176,1,76,193.12578125
177,1,77,194.549375
178,1,78,195.79265625000002
179,1,79,197.83546874999996
180,1,80,199.43796875
181,1,81,200.96281250000004
182,1,82,202.10875
183,1,83,203.65203125
184,1,84,205.09765625
185,1,85,206.60062499999998
186,1,86,207.64328125
187,1,87,208.3575
188,1,88,209.19515625000003
189,1,89,209.7678125
190,1,90,210.43515624999998
191,1,91,211.18828125
192,1,92,211.48921875
193,1,93,211.20718749999997
194,1,94,211.05140625
195,1,95,210.74734374999997
196,1,96,210.36546875
197,1,97,209.32046875000003
198,1,98,207.725625
199,1,99,205.83328124999997
200,2,0,147.05625
201,2,1,145.09421875
202,2,2,141.0
203,2,3,136.8153125
204,2,4,133.10796875
205,2,5,133.02078125
206,2,6,134.88265625000003
207,2,7,135.45218749999998
208,2,8,134.85343749999998
209,2,9,133.92078125
210,2,10,132.97359375000002
211,2,11,131.505625
212,2,12,129.0475
213,2,13,126.89000000000001
214,2,14,126.1846875
215,2,15,125.3871875
